Time,Country Code,Country Name,GDP (current US$),GDP growth (annual %),Number of infant deaths,Number of neonatal deaths,"Mortality rate, neonatal (per 1,000 live births)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)",Net migration,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Mortality rate, infant, female (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)","Mortality rate, infant, male (per 1,000 live births)","Life expectancy at birth, female (years)","Life expectancy at birth, total (years)","Life expectancy at birth, male (years)","Fertility rate, total (births per woman)",Sex ratio at birth (male births per female births),Population growth (annual %),"Population, total","Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)",Rural population,Rural population growth (annual %),Rural population (% of total population),Urban population growth (annual %),Urban population,Urban population (% of total population),"Healthy life expectancy, total (years)","Healthy life expectancy, male (years)","Healthy life expectancy, female (years)"
1988,BLZ,Belize,320093360.3,9.8,222.0,129.0,20.1,61.0,59.0,-1587.0,127.8,126.7,174.5,36.6,5.6,31.1,35.0,38.6,72.6,70.8,69.1,4.8,1.1,2.2,174817.0,86129.0,49.3,88689.0,50.7,91174.0,2.6,52.2,1.8,83643.0,47.8,,,
1988,BOL,Bolivia,4597615622.5,2.9,21959.0,10717.0,42.9,28.0,58.0,-19567.0,98.4,250.8,308.9,36.7,12.7,82.2,89.6,96.6,56.5,55.2,53.8,5.0,1.0,2.1,6804072.0,3403543.0,50.0,3400530.0,50.0,3159607.0,-0.0,46.4,4.0,3644465.0,53.6,,,
1988,BRA,Brazil,258816125587.5,-0.1,216736.0,106296.0,27.7,58.0,62.0,-11309.0,88.1,164.2,241.7,26.4,7.3,50.8,56.6,62.2,68.1,65.5,62.9,3.1,1.0,1.9,145253973.0,73004388.0,50.3,72249586.0,49.7,40174344.0,-1.0,27.7,3.1,105079629.0,72.3,,,
1988,CAN,Canada,507354351182.3,,2839.0,1815.0,4.6,86.0,85.0,207777.0,24.6,72.2,131.2,14.5,7.3,6.4,7.3,8.1,80.3,76.9,73.6,1.7,1.0,1.3,26791747.0,13500396.0,50.4,13291351.0,49.6,6284808.0,1.2,23.5,1.3,20506939.0,76.5,,,
1988,CHL,Chile,26040229793.1,7.3,5187.0,2727.0,9.4,96.0,95.0,-12126.0,65.2,93.5,178.1,22.5,5.5,16.2,18.0,19.8,75.5,72.5,69.5,2.6,1.0,1.6,12918389.0,6491774.0,50.3,6426615.0,49.7,2194318.0,0.8,17.0,1.8,10724071.0,83.0,,,
1988,COL,Colombia,39212550050.4,4.1,26997.0,16641.0,19.0,74.0,74.0,-32292.0,91.3,130.8,258.9,28.0,5.8,27.4,31.1,34.6,72.4,68.4,64.6,3.2,1.0,2.1,31256727.0,15627949.0,50.0,15628778.0,50.0,9835867.0,0.6,31.5,2.8,21420860.0,68.5,,,
1988,CRI,Costa Rica,4614629898.4,3.4,1316.0,819.0,9.7,87.0,97.0,3725.0,96.3,76.2,117.0,28.3,3.8,13.5,15.6,17.5,78.1,76.1,74.2,3.3,1.1,2.6,3001461.0,1488688.0,49.6,1512773.0,50.4,1555447.0,0.8,51.8,4.5,1446014.0,48.2,,,
1988,CUB,Cuba,27458999472.3,3.7,2170.0,1454.0,7.8,98.0,89.0,-15474.0,80.3,124.6,169.9,17.9,6.6,10.1,11.9,13.5,76.1,73.9,72.0,1.9,1.1,0.9,10425433.0,5148428.0,49.4,5277005.0,50.6,2876585.0,-0.8,27.6,1.6,7548848.0,72.4,,,
1988,ECU,Ecuador,13051886552.3,5.9,14064.0,7335.0,23.7,54.0,53.0,-8299.0,89.3,143.8,219.0,31.0,6.1,40.1,46.0,51.6,71.0,68.1,65.2,3.9,1.0,2.4,9969788.0,4970143.0,49.9,4999645.0,50.1,4631365.0,0.8,46.5,3.9,5338423.0,53.5,,,
1988,FJI,Fiji,1109976927.9,1.0,601.0,,,98.0,69.0,-9608.0,72.6,204.1,308.2,30.0,6.3,24.1,26.0,27.9,68.0,65.1,62.8,3.5,1.1,1.3,764370.0,377365.0,49.4,387005.0,50.6,457972.0,0.0,59.9,3.2,306398.0,40.1,,,
